Species,Long,Lat
Kinkajou,-73.25,1.75
Kinkajou,-73.25,1.25
Kinkajou,-73.25,0.75
Kinkajou,-73.25,0.25
Kinkajou,-73.25,-0.25
Kinkajou,-73.25,-0.75
Kinkajou,-73.25,-1.25
Kinkajou,-73.25,-1.75
Kinkajou,-73.25,-2.25
Kinkajou,-73.25,-2.75
Kinkajou,-73.25,-3.25
Kinkajou,-73.25,-3.75
Kinkajou,-73.25,-4.25
Kinkajou,-73.25,-4.75
Kinkajou,-73.25,-5.25
Kinkajou,-73.25,-5.75
Kinkajou,-73.25,-6.25
Kinkajou,-73.25,-6.75
Kinkajou,-73.25,-7.25
Kinkajou,-73.25,-7.75
Kinkajou,-73.25,-8.25
Kinkajou,-73.25,-8.75
Kinkajou,-73.25,-9.25
Kinkajou,-73.25,-9.75
Kinkajou,-73.25,-10.25
Kinkajou,-73.25,-10.75
Kinkajou,-73.25,-11.25
Kinkajou,-72.75,11.25
Kinkajou,-72.75,10.75
Kinkajou,-72.75,10.25
Kinkajou,-72.75,9.75
Kinkajou,-72.75,9.25
Kinkajou,-72.75,8.75
Kinkajou,-72.75,8.25
Kinkajou,-72.75,7.75
Kinkajou,-72.75,7.25
Kinkajou,-72.75,6.75
Kinkajou,-72.75,6.25
Kinkajou,-72.75,5.75
Kinkajou,-72.75,5.25
Kinkajou,-72.75,4.75
Kinkajou,-72.75,4.25
Kinkajou,-72.75,3.75
Kinkajou,-72.75,3.25
Kinkajou,-72.75,2.75
Kinkajou,-72.75,2.25
Kinkajou,-72.75,1.75
Kinkajou,-72.75,1.25
Kinkajou,-72.75,0.75
Kinkajou,-72.75,0.25
Kinkajou,-72.75,-0.25
Kinkajou,-72.75,-0.75
Kinkajou,-72.75,-1.25
Kinkajou,-72.75,-1.75
Kinkajou,-72.75,-2.25
Kinkajou,-72.75,-2.75
Kinkajou,-72.75,-3.25
Kinkajou,-72.75,-3.75
Kinkajou,-72.75,-4.25
Kinkajou,-72.75,-4.75
Kinkajou,-72.75,-5.25
Kinkajou,-72.75,-5.75
Kinkajou,-72.75,-6.25
Kinkajou,-72.75,-6.75
Kinkajou,-72.75,-7.25
Kinkajou,-72.75,-7.75
Kinkajou,-72.75,-8.25
Kinkajou,-72.75,-8.75
Kinkajou,-72.75,-9.25
Kinkajou,-72.75,-9.75
Kinkajou,-72.75,-10.25
Kinkajou,-72.75,-10.75
Kinkajou,-72.75,-11.25
Kinkajou,-72.75,-11.75
Kinkajou,-72.25,11.75
Kinkajou,-72.25,11.25
Kinkajou,-72.25,10.75
Kinkajou,-72.25,10.25
Kinkajou,-72.25,9.75
Kinkajou,-72.25,9.25
Kinkajou,-72.25,8.75
Kinkajou,-72.25,8.25
Kinkajou,-72.25,7.75
Kinkajou,-72.25,7.25
Kinkajou,-72.25,6.75
Kinkajou,-72.25,6.25
Kinkajou,-72.25,5.75
Kinkajou,-72.25,5.25
Kinkajou,-72.25,4.75
Kinkajou,-72.25,4.25
Kinkajou,-72.25,3.75
Kinkajou,-72.25,3.25
Kinkajou,-72.25,2.75
Kinkajou,-72.25,2.25
Kinkajou,-72.25,1.75
Kinkajou,-72.25,1.25
Kinkajou,-72.25,0.75
Kinkajou,-72.25,0.25
Kinkajou,-72.25,-0.25
Kinkajou,-72.25,-0.75
Kinkajou,-72.25,-1.25
Kinkajou,-72.25,-1.75
Kinkajou,-72.25,-2.25
Kinkajou,-72.25,-2.75
Kinkajou,-72.25,-3.25
Kinkajou,-72.25,-3.75
Kinkajou,-72.25,-4.25
Kinkajou,-72.25,-4.75
Kinkajou,-72.25,-5.25
Kinkajou,-72.25,-5.75
Kinkajou,-72.25,-6.25
Kinkajou,-72.25,-6.75
Kinkajou,-72.25,-7.25
Kinkajou,-72.25,-7.75
Kinkajou,-72.25,-8.25
Kinkajou,-72.25,-8.75
Kinkajou,-72.25,-9.25
Kinkajou,-72.25,-9.75
Kinkajou,-72.25,-10.25
Kinkajou,-72.25,-10.75
Kinkajou,-72.25,-11.25
Kinkajou,-72.25,-11.75
Kinkajou,-72.25,-12.25
Kinkajou,-72.25,-12.75
Kinkajou,-71.75,12.25
Kinkajou,-71.75,11.75
Kinkajou,-71.75,10.75
Kinkajou,-71.75,8.75
Kinkajou,-71.75,8.25
Kinkajou,-71.75,7.75
Kinkajou,-71.75,7.25
Kinkajou,-71.75,6.75
Kinkajou,-71.75,6.25
Kinkajou,-71.75,5.75
Kinkajou,-71.75,5.25
Kinkajou,-71.75,4.75
Kinkajou,-71.75,4.25
Kinkajou,-71.75,3.75
Kinkajou,-71.75,3.25
Kinkajou,-71.75,2.75
Kinkajou,-71.75,2.25
Kinkajou,-71.75,1.75
Kinkajou,-71.75,1.25
Kinkajou,-71.75,0.75
Kinkajou,-71.75,0.25
Kinkajou,-71.75,-0.25
Kinkajou,-71.75,-0.75
Kinkajou,-71.75,-1.25
Kinkajou,-71.75,-1.75
Kinkajou,-71.75,-2.25
Kinkajou,-71.75,-2.75
Kinkajou,-71.75,-3.25
Kinkajou,-71.75,-3.75
Kinkajou,-71.75,-4.25
Kinkajou,-71.75,-4.75
Kinkajou,-71.75,-5.25
Kinkajou,-71.75,-5.75
Kinkajou,-71.75,-6.25
Kinkajou,-71.75,-6.75
Kinkajou,-71.75,-7.25
Kinkajou,-71.75,-7.75
Kinkajou,-71.75,-8.25
Kinkajou,-71.75,-8.75
Kinkajou,-71.75,-9.25
Kinkajou,-71.75,-9.75
