Species,Long,Lat
Kinkajou,-71.75,-10.25
Kinkajou,-71.75,-10.75
Kinkajou,-71.75,-11.25
Kinkajou,-71.75,-11.75
Kinkajou,-71.75,-12.25
Kinkajou,-71.75,-12.75
Kinkajou,-71.75,-13.25
Kinkajou,-71.25,12.25
Kinkajou,-71.25,10.75
Kinkajou,-71.25,10.25
Kinkajou,-71.25,8.75
Kinkajou,-71.25,8.25
Kinkajou,-71.25,7.75
Kinkajou,-71.25,7.25
Kinkajou,-71.25,6.75
Kinkajou,-71.25,6.25
Kinkajou,-71.25,5.75
Kinkajou,-71.25,5.25
Kinkajou,-71.25,4.75
Kinkajou,-71.25,4.25
Kinkajou,-71.25,3.75
Kinkajou,-71.25,3.25
Kinkajou,-71.25,2.75
Kinkajou,-71.25,2.25
Kinkajou,-71.25,1.75
Kinkajou,-71.25,1.25
Kinkajou,-71.25,0.75
Kinkajou,-71.25,0.25
Kinkajou,-71.25,-0.25
Kinkajou,-71.25,-0.75
Kinkajou,-71.25,-1.25
Kinkajou,-71.25,-1.75
Kinkajou,-71.25,-2.25
Kinkajou,-71.25,-2.75
Kinkajou,-71.25,-3.25
Kinkajou,-71.25,-3.75
Kinkajou,-71.25,-4.25
Kinkajou,-71.25,-4.75
Kinkajou,-71.25,-5.25
Kinkajou,-71.25,-5.75
Kinkajou,-71.25,-6.25
Kinkajou,-71.25,-6.75
Kinkajou,-71.25,-7.25
Kinkajou,-71.25,-7.75
Kinkajou,-71.25,-8.25
Kinkajou,-71.25,-8.75
Kinkajou,-71.25,-9.25
Kinkajou,-71.25,-9.75
Kinkajou,-71.25,-10.25
Kinkajou,-71.25,-10.75
Kinkajou,-71.25,-11.25
Kinkajou,-71.25,-11.75
Kinkajou,-71.25,-12.25
Kinkajou,-71.25,-12.75
Kinkajou,-71.25,-13.25
Kinkajou,-70.75,10.75
Kinkajou,-70.75,10.25
Kinkajou,-70.75,9.75
Kinkajou,-70.75,9.25
Kinkajou,-70.75,8.75
Kinkajou,-70.75,8.25
Kinkajou,-70.75,7.75
Kinkajou,-70.75,7.25
Kinkajou,-70.75,6.75
Kinkajou,-70.75,6.25
Kinkajou,-70.75,5.75
Kinkajou,-70.75,5.25
Kinkajou,-70.75,4.75
Kinkajou,-70.75,4.25
Kinkajou,-70.75,3.75
Kinkajou,-70.75,3.25
Kinkajou,-70.75,2.75
Kinkajou,-70.75,2.25
Kinkajou,-70.75,1.75
Kinkajou,-70.75,1.25
Kinkajou,-70.75,0.75
Kinkajou,-70.75,0.25
Kinkajou,-70.75,-0.25
Kinkajou,-70.75,-0.75
Kinkajou,-70.75,-1.25
Kinkajou,-70.75,-1.75
Kinkajou,-70.75,-2.25
Kinkajou,-70.75,-2.75
Kinkajou,-70.75,-3.25
Kinkajou,-70.75,-3.75
Kinkajou,-70.75,-4.25
Kinkajou,-70.75,-4.75
Kinkajou,-70.75,-5.25
Kinkajou,-70.75,-5.75
Kinkajou,-70.75,-6.25
Kinkajou,-70.75,-6.75
Kinkajou,-70.75,-7.25
Kinkajou,-70.75,-7.75
Kinkajou,-70.75,-8.25
Kinkajou,-70.75,-8.75
Kinkajou,-70.75,-9.25
Kinkajou,-70.75,-9.75
Kinkajou,-70.75,-10.25
Kinkajou,-70.75,-10.75
Kinkajou,-70.75,-11.25
Kinkajou,-70.75,-11.75
Kinkajou,-70.75,-12.25
Kinkajou,-70.75,-12.75
Kinkajou,-70.75,-13.25
Kinkajou,-70.75,-13.75
Kinkajou,-70.25,11.25
Kinkajou,-70.25,10.75
Kinkajou,-70.25,10.25
Kinkajou,-70.25,9.75
Kinkajou,-70.25,9.25
Kinkajou,-70.25,8.75
Kinkajou,-70.25,8.25
Kinkajou,-70.25,7.75
Kinkajou,-70.25,7.25
Kinkajou,-70.25,6.75
Kinkajou,-70.25,6.25
Kinkajou,-70.25,5.75
Kinkajou,-70.25,5.25
Kinkajou,-70.25,4.75
Kinkajou,-70.25,4.25
Kinkajou,-70.25,3.75
Kinkajou,-70.25,3.25
Kinkajou,-70.25,2.75
Kinkajou,-70.25,2.25
Kinkajou,-70.25,1.75
Kinkajou,-70.25,1.25
Kinkajou,-70.25,0.75
Kinkajou,-70.25,0.25
Kinkajou,-70.25,-0.25
Kinkajou,-70.25,-0.75
Kinkajou,-70.25,-1.25
Kinkajou,-70.25,-1.75
Kinkajou,-70.25,-2.25
Kinkajou,-70.25,-2.75
Kinkajou,-70.25,-3.25
Kinkajou,-70.25,-3.75
Kinkajou,-70.25,-4.25
Kinkajou,-70.25,-4.75
Kinkajou,-70.25,-5.25
Kinkajou,-70.25,-5.75
Kinkajou,-70.25,-6.25
Kinkajou,-70.25,-6.75
Kinkajou,-70.25,-7.25
Kinkajou,-70.25,-7.75
Kinkajou,-70.25,-8.25
Kinkajou,-70.25,-8.75
Kinkajou,-70.25,-9.25
Kinkajou,-70.25,-9.75
Kinkajou,-70.25,-10.25
Kinkajou,-70.25,-10.75
Kinkajou,-70.25,-11.25
Kinkajou,-70.25,-11.75
Kinkajou,-70.25,-12.25
Kinkajou,-70.25,-12.75
Kinkajou,-70.25,-13.25
Kinkajou,-70.25,-13.75
Kinkajou,-70.25,-14.25
Kinkajou,-69.75,11.25
Kinkajou,-69.75,10.75
Kinkajou,-69.75,10.25
Kinkajou,-69.75,9.75
Kinkajou,-69.75,9.25
Kinkajou,-69.75,8.75
Kinkajou,-69.75,8.25
Kinkajou,-69.75,7.75
Kinkajou,-69.75,7.25
Kinkajou,-69.75,6.75
Kinkajou,-69.75,6.25
Kinkajou,-69.75,5.75
Kinkajou,-69.75,5.25
Kinkajou,-69.75,4.75
Kinkajou,-69.75,4.25
Kinkajou,-69.75,3.75
Kinkajou,-69.75,3.25
Kinkajou,-69.75,2.75
Kinkajou,-69.75,2.25
Kinkajou,-69.75,1.75
Kinkajou,-69.75,1.25
Kinkajou,-69.75,0.75
Kinkajou,-69.75,0.25
Kinkajou,-69.75,-0.25
Kinkajou,-69.75,-0.75
Kinkajou,-69.75,-1.25
Kinkajou,-69.75,-1.75
Kinkajou,-69.75,-2.25
Kinkajou,-69.75,-2.75
Kinkajou,-69.75,-3.25
Kinkajou,-69.75,-3.75
Kinkajou,-69.75,-4.25
Kinkajou,-69.75,-4.75
Kinkajou,-69.75,-5.25
Kinkajou,-69.75,-5.75
Kinkajou,-69.75,-6.25
Kinkajou,-69.75,-6.75
Kinkajou,-69.75,-7.25
Kinkajou,-69.75,-7.75
Kinkajou,-69.75,-8.25
Kinkajou,-69.75,-8.75
Kinkajou,-69.75,-9.25
Kinkajou,-69.75,-9.75
Kinkajou,-69.75,-10.25
Kinkajou,-69.75,-10.75
Kinkajou,-69.75,-11.25
Kinkajou,-69.75,-11.75
Kinkajou,-69.75,-12.25
Kinkajou,-69.75,-12.75
Kinkajou,-69.75,-13.25
Kinkajou,-69.75,-13.75
Kinkajou,-69.75,-14.25
Kinkajou,-69.25,11.25
Kinkajou,-69.25,10.75
Kinkajou,-69.25,10.25
Kinkajou,-69.25,9.75
Kinkajou,-69.25,9.25
Kinkajou,-69.25,8.75
Kinkajou,-69.25,8.25
Kinkajou,-69.25,7.75
Kinkajou,-69.25,7.25
Kinkajou,-69.25,6.75
Kinkajou,-69.25,6.25
Kinkajou,-69.25,5.75
Kinkajou,-69.25,5.25
Kinkajou,-69.25,4.75
Kinkajou,-69.25,4.25
Kinkajou,-69.25,3.75
Kinkajou,-69.25,3.25
Kinkajou,-69.25,2.75
Kinkajou,-69.25,2.25
Kinkajou,-69.25,1.75
Kinkajou,-69.25,1.25
Kinkajou,-69.25,0.75
Kinkajou,-69.25,0.25
Kinkajou,-69.25,-0.25
Kinkajou,-69.25,-0.75
Kinkajou,-69.25,-1.25
Kinkajou,-69.25,-1.75
Kinkajou,-69.25,-2.25
Kinkajou,-69.25,-2.75
Kinkajou,-69.25,-3.25
Kinkajou,-69.25,-3.75
Kinkajou,-69.25,-4.25
Kinkajou,-69.25,-4.75
Kinkajou,-69.25,-5.25
Kinkajou,-69.25,-5.75
Kinkajou,-69.25,-6.25
Kinkajou,-69.25,-6.75
Kinkajou,-69.25,-7.25
Kinkajou,-69.25,-7.75
Kinkajou,-69.25,-8.25
Kinkajou,-69.25,-8.75
Kinkajou,-69.25,-9.25
Kinkajou,-69.25,-9.75
Kinkajou,-69.25,-10.25
Kinkajou,-69.25,-10.75
Kinkajou,-69.25,-11.25
Kinkajou,-69.25,-11.75
Kinkajou,-69.25,-12.25
Kinkajou,-69.25,-12.75
Kinkajou,-69.25,-13.25
Kinkajou,-69.25,-13.75
Kinkajou,-69.25,-14.25
Kinkajou,-69.25,-14.75
Kinkajou,-68.75,11.25
